cell,leiden_final
1054,Enterocyte (Mid Villus)
1055,Smooth Muscle
1056,Enterocyte (Mid Villus)
1057,Stromal
1058,Goblet
1059,Enterocyte (Mid Villus)
1060,Stem + TA
1061,Telocyte
1062,Stem + TA
1063,Goblet
1064,Smooth Muscle
1065,Enterocyte (Mid Villus)
1066,Smooth Muscle
1067,Stem + TA
1068,B (Plasma)
1069,Smooth Muscle
1070,Enterocyte (Mid Villus)
1071,Stromal
1072,Goblet
1073,Stem + TA
1074,Enterocyte (Mid Villus)
1075,Stromal
1076,Enterocyte (Mid Villus)
1077,Enterocyte (Mid Villus)
1078,Enterocyte (Mid Villus)
1079,Stem + TA
1080,Smooth Muscle
1081,B (Plasma)
1082,Telocyte
1083,Smooth Muscle
1084,Stem + TA
1085,Stromal
1086,Enterocyte (Mid Villus)
1087,Macrophage + DC
1088,B (Plasma)
1089,Stromal
1090,Stromal
1091,Stem + TA
1092,Stromal
1093,Enterocyte (Mid Villus)
1094,Stromal
1095,Smooth Muscle
1096,Enterocyte (Mid Villus)
1097,Enterocyte (Mid Villus)
1098,Enterocyte (Mid Villus)
1099,Stem + TA
1100,Stem + TA
1101,Enterocyte (Mid Villus)
1102,Smooth Muscle
1103,T (CD4+)
1104,B (Plasma)
1105,Enterocyte (Mid Villus)
1106,T (CD4+)
1107,B (Plasma)
1108,Stromal
1109,Telocyte
1110,Enterocyte (Mid Villus)
1111,Macrophage + DC
1112,Stromal
1113,Enterocyte (Mid Villus)
1114,Stem + TA
1115,Enterocyte (Mid Villus)
1116,Macrophage + DC
1117,Smooth Muscle
1118,Telocyte
1119,Removed
1120,Smooth Muscle
1121,Enterocyte (Mid Villus)
1122,Smooth Muscle
1123,Telocyte
1124,Stem + TA
1125,Removed
1126,Removed
1127,Endothelial
1128,Enterocyte (Mid Villus)
1129,Telocyte
1130,ICC
1131,Enterocyte (Bottom Villus)
1132,Smooth Muscle
1133,Smooth Muscle
1134,Telocyte
1135,ICC
1136,B (Plasma)
1137,B (Plasma)
1138,Smooth Muscle
1139,B (Plasma)
1140,Removed
1141,B (Plasma)
1142,ICC
1143,Smooth Muscle
1144,T (CD4+)
1145,Removed
1146,Enterocyte (Mid Villus)
1147,Macrophage + DC
1148,Stem + TA
1149,Stem + TA
1150,Goblet
1151,Goblet
1152,Stem + TA
1153,Stromal
1154,Stem + TA
1155,Enterocyte (Mid Villus)
1156,Endothelial
1157,Enterocyte (Mid Villus)
1158,Enterocyte (Mid Villus)
1159,Endothelial
1160,Stem + TA
1161,Macrophage + DC
1162,Removed
1163,Smooth Muscle
1164,Smooth Muscle
1165,Enterocyte (Mid Villus)
1166,B (Plasma)
1167,Enterocyte (Mid Villus)
1168,Smooth Muscle
1169,Stem + TA
1170,Stem + TA
1171,Endothelial
1172,Removed
1173,Enterocyte (Mid Villus)
1174,Macrophage + DC
1175,Enterocyte (Mid Villus)
1176,Smooth Muscle
1177,Smooth Muscle
1178,Endothelial
1179,Enterocyte (Mid Villus)
1180,Stromal
1181,Smooth Muscle
1182,Goblet
1183,B (Plasma)
1184,Enterocyte (Bottom Villus)
1185,Stromal
1186,Stem + TA
1187,Enterocyte (Bottom Villus)
1188,Enterocyte (Mid Villus)
1189,Macrophage + DC
1190,T (CD8+)
1191,Endothelial
1192,Enterocyte (Mid Villus)
1193,Stromal
1194,Goblet
1195,B (Plasma)
1196,Stromal
1197,Enterocyte (Bottom Villus)
1198,Stromal
1199,Stromal
1200,B (Plasma)
1201,Enterocyte (Mid Villus)
1202,Smooth Muscle
1203,Smooth Muscle
1204,Removed
1205,Endothelial
1206,Endothelial
1207,Goblet
1208,Stromal
1209,Removed
1210,Enterocyte (Mid Villus)
1211,Stromal
1212,Enterocyte (Mid Villus)
1213,Stromal
1214,Enterocyte (Mid Villus)
1215,B (Plasma)
1216,Enterocyte (Mid Villus)
1217,T (CD4+)
1218,Smooth Muscle
1219,Smooth Muscle
1220,Enterocyte (Mid Villus)
1221,ICC
1222,Enterocyte (Mid Villus)
1223,Smooth Muscle
1224,Enterocyte (Mid Villus)
1225,Macrophage + DC
1226,Stem + TA
1227,B (Plasma)
1228,Enterocyte (Mid Villus)
1229,Stem + TA
1230,Enterocyte (Mid Villus)
