iteration,node_index,gene_name,cell_id,overlaps_nucleus,degree
2,7524,PTPRZ1,djcjhfcd-1,0,0
2,3943,CTSL,djcjhfcd-1,0,0
2,5484,FOSL2,djcjhfcd-1,1,0
2,5997,HMOX1,UNASSIGNED,0,0
2,6508,LAMP5,dgnkncjk-1,0,0
2,2414,CD14,UNASSIGNED,0,1
2,5488,FOSL2,djcjhfcd-1,1,0
2,8049,SOX2,djcjhfcd-1,0,1
2,5487,FOSL2,djcjhfcd-1,1,0
2,3956,CTSL,djcjhfcd-1,1,0
2,5493,FOSL2,djcjhfcd-1,0,0
2,1397,BIN1,djcjhfcd-1,1,0
2,1399,BIN1,djcjhfcd-1,1,0
2,4983,FCGBP,UNASSIGNED,0,1
2,7032,NR4A3,dgnkncjk-1,0,1
2,1917,CCL3L1,djckpagf-1,0,6
2,3456,CHI3L1,djcjhfcd-1,0,0
2,5511,GAA,djcjhfcd-1,1,0
2,5000,FCGBP,UNASSIGNED,0,1
2,5513,GAA,djckpagf-1,0,1
2,8075,SOX6,UNASSIGNED,0,0
2,5519,GAA,djcjhfcd-1,1,0
2,4496,EGR3,UNASSIGNED,0,0
2,8082,SOX9,UNASSIGNED,0,0
2,5525,GAA,djcjhfcd-1,1,0
2,3478,CHI3L1,djcjhfcd-1,0,0
2,8602,VEGFA,djcjhfcd-1,1,0
2,2461,CD163,dgnkaclh-1,0,0
2,7070,NR4A3,UNASSIGNED,0,0
2,3999,CTSS,djckpagf-1,0,0
2,5537,GAA,UNASSIGNED,0,0
2,1442,C1orf162,djcjhfcd-1,1,0
2,7075,NR4A3,UNASSIGNED,0,1
2,5028,FCGBP,djckpagf-1,0,3
2,5033,FCGBP,djckpagf-1,0,2
2,5545,GJA1,djcjhfcd-1,0,0
2,5036,FCGBP,UNASSIGNED,0,1
2,1454,C3,UNASSIGNED,0,0
2,4527,ETS1,dgnkaclh-1,0,0
2,6576,LGMN,djcjhfcd-1,1,0
2,3508,CHI3L1,UNASSIGNED,0,0
2,5044,FCGBP,UNASSIGNED,0,0
2,6070,ICOS,dgnkaclh-1,1,0
2,954,APOE,dgnkncjk-1,0,0
2,956,APOE,djcjhfcd-1,0,0
2,8127,SPI1,dgnkaclh-1,1,1
2,960,APOE,dgnkncjk-1,0,0
2,2497,CD163,UNASSIGNED,0,1
2,4033,CXCL14,djcjhfcd-1,0,0
2,2498,CD163,UNASSIGNED,0,2
2,3010,CD93,djcjhfcd-1,0,0
2,1994,CCL4,UNASSIGNED,0,1
2,6604,LIPA,djcjhfcd-1,0,0
2,1485,C3,UNASSIGNED,0,1
2,2514,CD163,djckpagf-1,0,1
2,978,APOE,djcjhfcd-1,1,0
2,6611,LIPA,djcjhfcd-1,0,0
2,1495,C3,djckpagf-1,0,1
2,5079,FCGBP,UNASSIGNED,0,0
2,2521,CD163,UNASSIGNED,0,0
2,989,APOE,djcjhfcd-1,1,0
2,8157,SPOCD1,UNASSIGNED,0,0
2,6629,LTA4H,UNASSIGNED,0,0
2,2022,CCL4,dgnkaclh-1,1,1
2,999,APOE,djcjhfcd-1,1,1
2,6632,LTA4H,djcjhfcd-1,1,0
2,8174,SRPX,dgnkncjk-1,0,0
2,4083,CYFIP1,djcjhfcd-1,1,1
2,1011,APOE,djcjhfcd-1,1,0
2,8179,ST6GAL1,UNASSIGNED,0,0
2,1014,APOE,djcjhfcd-1,0,0
2,1015,APOE,djcjhfcd-1,0,0
2,6646,LYVE1,djcjhfcd-1,1,1
2,6134,IDH2,djcjhfcd-1,0,0
2,1013,APOE,UNASSIGNED,0,1
2,4603,FCER1G,UNASSIGNED,0,1
2,5119,FCGBP,dgnkaclh-1,0,1
