gene_i,gene_j,P_i,P_j,P_ij,P_i_given_j,P_j_given_i,PMI,NPMI
ACE,RORC,0.0005555748463488316,0.0021875759574985242,0.0,0.0,0.0,,
ACE,SCARA3,0.0005555748463488316,3.4723427896801975e-05,0.0,0.0,0.0,,
ACE,SCGB3A2,0.0005555748463488316,0.010694815792215007,0.0,0.0,0.0,,
ACE,SDC4,0.0005555748463488316,0.025660613215736656,3.4723427896801975e-05,0.0013531799729364006,0.0625,0.8902093001110016,0.08669662856938506
ACE,SELENBP1,0.0005555748463488316,0.0016667245390464946,0.0,0.0,0.0,,
ACE,SELP,0.0005555748463488316,0.00010417028369040591,0.0,0.0,0.0,,
ACE,SFTPB,0.0005555748463488316,0.6508212090697594,0.0001388937115872079,0.00021341300752280852,0.25,-0.9567740461798909,-0.10772297008971828
ACE,SFTPC,0.0005555748463488316,0.02729261432688635,0.0,0.0,0.0,,
ACE,SFTPD,0.0005555748463488316,0.025799506927323867,0.0,0.0,0.0,,
ACE,SLC12A2,0.0005555748463488316,0.0007291919858328414,0.0,0.0,0.0,,
ACE,SLC18A2,0.0005555748463488316,0.0032640022222993853,0.0,0.0,0.0,,
ACE,SLC2A1,0.0005555748463488316,0.00010417028369040591,0.0,0.0,0.0,,
ACE,SMAD4,0.0005555748463488316,0.00017361713948400986,0.0,0.0,0.0,,
ACE,SMAD6,0.0005555748463488316,3.4723427896801975e-05,0.0,0.0,0.0,,
ACE,SOX4,0.0005555748463488316,0.001180596548491267,0.0,0.0,0.0,,
ACE,SOX9,0.0005555748463488316,0.00010417028369040591,0.0,0.0,0.0,,
ACE,SPARC,0.0005555748463488316,0.0387166221049342,0.0001388937115872079,0.003587443946188341,0.25,1.865191898284875,0.2100015273958937
ACE,SPP1,0.0005555748463488316,0.0002777874231744158,3.4723427896801975e-05,0.125,0.0625,5.416065679379368,0.5274654336390304
ACE,SYNPO2,0.0005555748463488316,0.0004861279905552276,0.0,0.0,0.0,,
ACE,TBX21,0.0005555748463488316,3.4723427896801975e-05,0.0,0.0,0.0,,
ACE,TGFB1,0.0005555748463488316,0.0020486822459113165,0.0,0.0,0.0,,
ACE,THY1,0.0005555748463488316,0.0001388937115872079,0.0,0.0,0.0,,
ACE,TIGIT,0.0005555748463488316,0.0056599187471787216,0.0,0.0,0.0,,
ACE,TMPRSS2,0.0005555748463488316,0.00756970728150283,0.0,0.0,0.0,,
ACE,TNC,0.0005555748463488316,0.0013889371158720789,0.0,0.0,0.0,,
ACE,TNF,0.0005555748463488316,6.944685579360395e-05,0.0,0.0,0.0,,
ACE,TNFRSF13B,0.0005555748463488316,6.944685579360395e-05,0.0,0.0,0.0,,
ACE,TNFRSF17,0.0005555748463488316,0.00010417028369040591,0.0,0.0,0.0,,
ACE,TP53,0.0005555748463488316,0.0003472342789680197,0.0,0.0,0.0,,
ACE,TREM1,0.0005555748463488316,0.0034723427896801973,0.0,0.0,0.0,,
ACE,TREM2,0.0005555748463488316,0.0002430639952776138,0.0,0.0,0.0,,
ACE,TRH,0.0005555748463488316,6.944685579360395e-05,0.0,0.0,0.0,,
ACE,TSTD1,0.0005555748463488316,0.00017361713948400986,0.0,0.0,0.0,,
ACE,TUBB1,0.0005555748463488316,3.4723427896801975e-05,0.0,0.0,0.0,,
ACE,VAMP8,0.0005555748463488316,0.00017361713948400986,0.0,0.0,0.0,,
ACE,VEGFA,0.0005555748463488316,0.04128615576929755,0.0,0.0,0.0,,
ACE,VIM,0.0005555748463488316,0.18580506267578736,0.0002430639952776138,0.0013081666978134927,0.4375,0.8563786318032119,0.10290308976225404
ACE,WEE1,0.0005555748463488316,0.003715406784957811,0.0,0.0,0.0,,
ACE,WSB1,0.0005555748463488316,0.16872113615056078,3.4723427896801975e-05,0.00020580366330520686,0.0625,-0.9930807133466995,-0.09671517668227374
ACE,XBP1,0.0005555748463488316,0.012708774610229522,3.4723427896801975e-05,0.00273224043715847,0.0625,1.5928738876578372,0.15512845774462747
ACE,YAP1,0.0005555748463488316,0.002708427375950554,0.0,0.0,0.0,,
ACE,ZEB1,0.0005555748463488316,0.00020834056738081182,0.0,0.0,0.0,,
ACTA2,ACE,0.01954928990589951,0.0005555748463488316,3.4723427896801975e-05,0.0625,0.0017761989342806397,1.1622275929195132,0.11318822879503665
ACTA2,ACTA2,0.01954928990589951,0.01954928990589951,0.01954928990589951,1.0,1.0,3.9348163151592948,1.0000000000000002
ACTA2,ADGRL4,0.01954928990589951,0.0002777874231744158,0.0,0.0,0.0,,
ACTA2,AK1,0.01954928990589951,0.0002777874231744158,0.0,0.0,0.0,,
ACTA2,AKR1C1,0.01954928990589951,0.0013889371158720789,0.0,0.0,0.0,,
ACTA2,APOE,0.01954928990589951,0.006389110733011563,0.0,0.0,0.0,,
ACTA2,APOLD1,0.01954928990589951,0.0003472342789680197,3.4723427896801975e-05,0.1,0.0017761989342806397,1.6322312221652489,0.15896143074417335
ACTA2,ATF4,0.01954928990589951,0.00263898052015695,0.0001388937115872079,0.052631578947368425,0.007104795737122559,0.9903773359928539,0.11150635677113056
ACTA2,ATF6,0.01954928990589951,0.0007639154137296434,0.0,0.0,0.0,,
ACTA2,ATP6V1G3,0.01954928990589951,3.4723427896801975e-05,0.0,0.0,0.0,,
ACTA2,AXL,0.01954928990589951,0.0005555748463488316,0.0,0.0,0.0,,
ACTA2,BANK1,0.01954928990589951,0.0004861279905552276,0.0,0.0,0.0,,
ACTA2,BIRC3,0.01954928990589951,0.0004861279905552276,0.0,0.0,0.0,,
ACTA2,BMX,0.01954928990589951,3.4723427896801975e-05,3.4723427896801975e-05,1.0,0.0017761989342806397,3.9348163151592943,0.383207981001305
ACTA2,C16orf89,0.01954928990589951,0.008055835272058057,6.944685579360395e-05,0.008620689655172415,0.0035523978685612794,-0.8187738759470701,-0.08551208954071197
ACTA2,C1QC,0.01954928990589951,0.00010417028369040591,0.0,0.0,0.0,,
